timestamp,temp_55,temp_43,hum_43,wind_speed_43,wind_dir_43
2025-11-06 17:11:01.126552+01:00,17.61,18.39,58.9,4.47,350.0
2025-11-06 17:16:01.799589+01:00,17.5,18.28,57.8,5.36,350.0
2025-11-06 17:21:02.486857+01:00,17.44,18.28,58.6,4.02,355.0
2025-11-06 17:26:03.135265+01:00,17.44,18.33,58.4,3.58,331.0
2025-11-06 17:31:03.854572+01:00,17.33,18.33,57.4,2.24,23.0
2025-11-06 17:36:04.542907+01:00,17.33,18.22,57.0,4.47,345.0
2025-11-06 17:41:05.113553+01:00,17.28,18.11,57.2,4.02,360.0
2025-11-06 17:46:05.706177+01:00,17.28,18.11,58.4,3.13,12.0
2025-11-06 17:51:06.331661+01:00,17.17,18.06,57.6,3.58,342.0
2025-11-06 17:56:06.953458+01:00,17.17,17.94,58.6,3.58,341.0
2025-11-06 18:01:07.638086+01:00,17.17,17.89,59.4,1.79,336.0
2025-11-06 18:06:08.255179+01:00,17.0,17.78,60.1,1.79,338.0
2025-11-06 18:11:08.939750+01:00,16.89,17.67,60.5,1.79,301.0
2025-11-06 18:16:09.543013+01:00,16.83,17.56,61.1,1.79,355.0
2025-11-06 18:21:10.393269+01:00,16.72,17.44,61.6,1.34,9.0
2025-11-06 18:26:11.007988+01:00,16.67,17.28,62.3,1.79,346.0
2025-11-06 18:31:11.624375+01:00,16.56,17.11,63.1,0.89,344.0
2025-11-06 18:36:12.295248+01:00,16.44,17.0,64.0,0.89,355.0
2025-11-06 18:41:12.914508+01:00,16.28,16.78,64.6,0.89,352.0
2025-11-06 18:46:13.556083+01:00,16.22,16.67,65.1,1.34,348.0
2025-11-06 18:51:15.155382+01:00,16.06,16.5,66.0,1.34,330.0
2025-11-06 18:56:15.703256+01:00,15.94,16.33,67.0,0.89,339.0
2025-11-06 19:01:16.328076+01:00,15.83,16.06,68.1,0.89,344.0
2025-11-06 19:06:16.906429+01:00,15.78,15.72,70.1,1.34,360.0
2025-11-06 19:11:17.478386+01:00,15.67,15.17,71.9,1.34,360.0
2025-11-06 19:16:18.100842+01:00,15.61,14.89,73.2,1.34,360.0
2025-11-06 19:21:18.642206+01:00,15.5,14.67,73.9,1.34,360.0
2025-11-06 19:26:19.250176+01:00,15.44,14.33,74.7,1.34,360.0
2025-11-06 19:31:19.819837+01:00,15.33,14.11,75.5,0.89,348.0
2025-11-06 19:36:20.505752+01:00,15.28,13.94,76.3,0.89,348.0
2025-11-06 19:57:21.706902+01:00,14.94,13.5,77.8,1.34,13.0
2025-11-07 08:44:36.988362+01:00,15.0,13.61,88.3,1.34,337.0
2025-11-07 08:44:50.010828+01:00,15.0,13.61,88.3,1.34,337.0
2025-11-07 08:49:50.667107+01:00,15.17,13.67,88.5,0.45,340.0
2025-11-07 08:54:51.277013+01:00,15.11,13.67,88.3,0.89,340.0
2025-11-07 08:59:51.860083+01:00,15.0,13.72,88.4,0.89,340.0
2025-11-07 09:04:52.459661+01:00,15.17,13.78,88.3,0.89,340.0
2025-11-07 09:09:53.108411+01:00,15.5,13.89,88.3,0.89,351.0
2025-11-07 09:14:53.698542+01:00,15.78,13.94,87.9,0.45,351.0
2025-11-07 09:19:54.298202+01:00,15.5,14.06,87.6,0.89,346.0
2025-11-07 09:24:54.973066+01:00,15.28,14.22,87.1,,
2025-11-07 09:29:55.583227+01:00,15.17,14.33,86.9,0.0,0.0
2025-11-07 09:34:56.214922+01:00,15.28,14.44,86.3,1.34,212.0
2025-11-07 09:39:56.894619+01:00,15.61,15.0,83.9,2.24,182.0
2025-11-07 09:44:57.559579+01:00,16.28,15.5,81.9,2.24,184.0
2025-11-07 09:49:59.260872+01:00,16.56,15.94,80.1,1.34,196.0
2025-11-07 09:54:59.862077+01:00,16.56,16.22,79.6,1.34,196.0
2025-11-07 10:00:00.492888+01:00,16.72,16.44,78.9,0.89,196.0
2025-11-07 10:05:01.081938+01:00,17.0,16.72,78.8,1.79,192.0
2025-11-07 10:10:01.715615+01:00,17.28,17.06,77.8,2.24,180.0
2025-11-07 10:15:02.751121+01:00,17.33,17.33,76.8,2.24,202.0
2025-11-07 10:20:03.380004+01:00,19.11,17.61,75.4,1.34,205.0
2025-11-07 10:25:04.039875+01:00,20.5,17.78,74.1,2.24,194.0
2025-11-07 10:30:04.674924+01:00,21.44,18.06,73.8,1.34,189.0
2025-11-07 10:35:05.325283+01:00,22.28,18.44,72.4,1.79,197.0
2025-11-07 10:40:05.920807+01:00,23.44,18.61,71.6,1.34,193.0
2025-11-07 10:45:06.521691+01:00,24.22,18.83,71.2,0.89,197.0
2025-11-07 10:50:07.144277+01:00,24.61,19.11,69.9,2.68,167.0
2025-11-07 10:55:07.822992+01:00,25.5,19.44,68.7,2.24,171.0
2025-11-07 11:00:08.514918+01:00,25.0,19.72,67.0,3.58,172.0
2025-11-07 11:05:09.143542+01:00,24.11,19.72,67.8,2.68,163.0
2025-11-07 11:10:09.755769+01:00,22.0,19.5,68.1,3.13,128.0
2025-11-07 11:15:10.372751+01:00,22.89,19.22,68.6,3.58,112.0
2025-11-07 11:20:11.112082+01:00,23.83,19.28,69.6,2.68,191.0
2025-11-07 11:25:11.710729+01:00,23.33,19.44,68.7,1.79,179.0
